m_lat,m_lon
0,-80.08
0.67,-80
1,-79.33
1.25,-78.83
1.67,-79
1.75,-78.58
2.17,-78.67
2.67,-78.33
2.67,-77.75
3.25,-77.5
3.67,-77.17
4,-77.5
4.5,-77.33
5,-77.42
5.5,-77.42
6.17,-77.5
6.58,-77.42
7,-77.75
7.42,-78.17
8,-78.42
8.33,-78.17
8.33,-78.5
8.75,-78.75
9,-79.17
9,-79.5
8.58,-79.75
8.33,-80.08
8.33,-80.08
8.17,-80.5
7.83,-80.42
7.74753829793484,-80.3149387336758
7.66505087257074,-80.2099186092594
7.5825380110076,-80.1049391801817
7.5,-80
7.43755222799571,-80.1250530931188
7.37506943244509,-80.2500705956681
7.31255192071402,-80.3750528002957
7.25,-80.5
7.17,-80.92
7.75,-81
7.75,-81.5
8.08,-81.75
8.25,-82.25
8.33,-82.75
8.17,-83
8.42,-83.25
8.5,-83.75
9,-83.67
9.33,-84
9.67,-84.58
10,-84.83
9.67,-85.17
9.83,-85.33
9.92,-85.67
10.33,-85.83
10.75,-85.75
11.17,-85.75
11.5,-86.17
11.83,-86.58
12.25,-87
12.58,-87.33
12.6850407080801,-87.4148942345818
12.7900544464804,-87.4998585524282
12.895040961821,-87.5848935937196
13,-87.67
13.0000414590983,-87.5850000094671
13.0000552788089,-87.5000000000004
13.0000414590983,-87.4149999905337
13,-87.33
13.1050419535466,-87.4148906288233
13.2100561080881,-87.4998537414893
13.3150422087725,-87.5848899830567
13.42,-87.67
13.42,-87.67
13.17,-87.83
13.17,-88.42
13.17,-88.83
13.42,-89.33
13.42,-89.75
13.67,-90
13.92,-90.5
13.92,-91
14.08,-91.5
14.33,-92
14.67,-92.33
15,-92.75
15.42,-93.17
15.67,-93.42
15.92,-93.83
16.08,-94.25
16.17,-94.67
16.17,-95.17
15.92,-95.67
15.67,-96.25
15.83,-96.83
16,-97.42
16.08,-98
16.33,-98.5
16.58,-99
16.67,-99.5
16.92,-100
17.08,-100.5
17.25,-101
17.67,-101.58
17.67,-101.58
18,-102
18,-102.25
18.08,-102.83
18.33,-103.5
18.75,-103.83
19.08,-104.33
19.33,-104.92
19.83,-105.33
20.33,-105.67
20.58,-105.33
20.83,-105.5
21.17,-105.17
21.5,-105.17
21.75,-105.5
22.42,-105.67
22.75,-106
23.17,-106.42
23.5,-106.75
24,-107.17
24.33,-107.58
24.67,-108
25.25,-108.33
25.5,-109
25.75,-109.42
26,-109.42
26.33,-109.25
26.67,-109.5
26.67,-109.75
27,-110
27.42,-110.58
27.42,-110.58
27.92,-110.58
28,-111.17
28.5,-111.67
29,-112.17
29.5,-112.42
29.92,-112.75
30.25,-112.83
30.75,-113.08
31.17,-113.08
31.33,-113.5
31.58,-113.83
31.5,-114.17
31.75,-114.75
31.42,-114.83
31,-114.75
30.58,-114.58
30.17,-114.67
29.83,-114.42
29.58,-114
29.17,-113.67
28.75,-113.25
28.33,-112.92
27.83,-112.75
27.5,-112.33
27,-112
26.5,-111.5
26,-111.33
25.5,-111
25.17,-111
24.83,-110.67
24.83,-110.67
24.67,-110.83
24.25,-110.58
24.25,-110.17
23.75,-109.75
23.33,-109.42
22.83,-110
23.5,-110.33
23.83,-110.83
24.25,-111.25
24.58,-111.67
24.83,-112.33
25.17,-112.08
25.67,-112.08
26.17,-112.33
26.42,-112.83
26.75,-113.17
26.75,-113.58
27,-114
27.17,-114.33
27.5,-114.5
27.83,-115
27.75,-114.42
28,-114
28.42,-114
28.75,-114.33
29.08,-114.67
29.5,-115.17
29.67,-115.67
30.25,-115.75
30.33,-116
30.33,-116
30.75,-116
31,-116.33
31.25,-116.33
31.58,-116.58
32,-116.75
32.5,-117.08
33,-117.25
33.42,-117.5
33.75,-118
33.75,-118.33
34.08,-118.42
34.08,-118.75
34.25,-119.25
34.42,-119.83
34.58,-120.58
35.08,-120.58
35.58,-121.08
36,-121.42
36.33,-121.92
36.58,-121.83
37,-121.83
37,-122.17
37.33,-122.42
37.75,-122.5
37.5,-122.08
37.92,-122.33
38.08,-122.17
38.17,-122.5
37.92,-122.5
38,-123
38,-123
38.33,-122.92
38.58,-123.33
38.92,-123.67
39.33,-123.75
39.67,-123.75
40,-124
40.25,-124.33
40.5,-124.33
41,-124.08
41.5,-124
42,-124.17
42.33,-124.42
42.83,-124.5
43.42,-124.25
44,-124.08
44.5,-124
45,-124
45.42,-123.83
45.83,-123.92
46.17,-123.92
46.17,-123.17
46.33,-123.92
46.67,-124
47,-124.08
47.5,-124.33
47.92,-124.58
48.17,-124.75
48.42,-124.67
48.17,-123.83
48.17,-123.17
48.17,-123.17
47.92,-122.58
47.5,-123
47.67,-122.58
47.5,-122.5
48,-122.25
48.1050883041792,-122.331993750491
48.2101180446756,-122.414323374038
48.3150887639105,-122.496991305508
48.42,-122.58
48.4600207671279,-122.540094608219
48.5000277170568,-122.500126255258
48.5400208084937,-122.460094774781
48.58,-122.42
48.6850880821232,-122.501983334192
48.7901177514985,-122.584309430342
48.8950885462286,-122.666980805992
49,-122.75
49.25,-123.17
49.75,-123.17
49.5,-123.75
49.75,-124.33
50.08,-124.92
50.42,-125.5
50.67,-126.25
50.83,-127
51.17,-127.75
51.5,-127.75
51.83,-128.17
52.33,-128.42
52.58,-129.17
53.17,-129.75
53.42,-130.33
53.92,-130.75
54.17,-130.17
54.42,-130.42
54.92,-130.08
54.75,-130.75
55,-131.33
55.33,-131.75
55.33,-131.75
55.75,-132.08
56.08,-132
56.08,-132.5
56.25,-133
55.83,-132.58
55.25,-132.08
54.67,-132.08
55.08,-132.5
55.33,-133.08
55.58,-133.42
55.92,-133.67
56.33,-133.67
56.25,-134.17
56.75,-134.33
57.08,-133.83
56.92,-133
57.25,-133.42
57.58,-133.75
57.25,-134
57,-134.5
57.42,-134.5
57.92,-134.75
58.25,-134.67
58.67,-135
58.25,-135.17
58.25,-135.67
57.92,-135
57.42,-135
56.83,-134.75
56.17,-134.75
56.17,-134.75
56.75,-135.17
57.25,-135.5
57.67,-136.17
58.17,-136.5
58.42,-137.25
58.75,-137.92
59.17,-138.67
59.42,-139.5
59.92,-139.67
59.67,-140.25
59.75,-141.08
60,-142
60,-143
60,-144
60.25,-145
60.58,-146
60.83,-146.67
60.83,-147.5
61,-148.33
60.42,-148.17
59.92,-148.67
59.92,-149.5
59.58,-150.17
59.25,-150.92
59.17,-151.92
59.5,-151.42
59.67,-151.92
60.17,-151.42
60.75,-151.33
60.92,-150.42
60.92,-150.42
61.0026726290314,-150.295975194561
61.0852308333188,-150.171303389393
61.1676736234305,-150.045979897661
61.25,-149.92
61.2503881235412,-150.107498456546
61.2505174992267,-150.295000000001
61.2503881235412,-150.482501543455
61.25,-150.67
60.92,-151.67
60.58,-152.25
60.08,-152.5
59.67,-153.08
59.42,-153.83
59.08,-154.08
58.92,-153.33
58.5,-153.83
58.17,-154.33
57.83,-155.25
57.42,-156.17
57,-156.67
56.67,-157.67
56.42,-158.42
56,-158.75
55.83,-159.58
55.58,-160.5
55.42,-161.42
55.17,-162
55,-162.83
54.67,-163.67
54.33,-164.75
54.58,-164.92
55,-163.92
55.25,-162.92
55.67,-162.33
55.92,-161.42
56,-160.5
56,-160.5
56.5,-159.92
56.83,-159
57.25,-158.33
57.58,-157.67
58.17,-157.5
58.75,-157.42
58.67,-158
58.75,-158.67
58.42,-158.92
58.92,-159.58
58.92,-161
58.75,-161.58
59.17,-161.92
59.5,-161.67
60.08,-162.17
59.67,-163
59.67,-163.83
60.08,-164.33
60.58,-164.92
